ds,regressor
1/1/2015,100
1/2/2015,100
1/3/2015,100
1/4/2015,100
1/5/2015,100
1/6/2015,100
1/7/2015,100
1/8/2015,100
1/9/2015,100
1/10/2015,100
1/11/2015,100
1/12/2015,100
1/13/2015,100
1/14/2015,100
1/15/2015,100
1/16/2015,100
1/17/2015,100
1/18/2015,100
1/19/2015,100
1/20/2015,100
1/21/2015,100
1/22/2015,100
1/23/2015,100
1/24/2015,100
1/25/2015,100
1/26/2015,100
1/27/2015,100
1/28/2015,100
1/29/2015,100
1/30/2015,100
1/31/2015,100
2/1/2015,100
2/2/2015,100
2/3/2015,100
2/4/2015,100
2/5/2015,100
2/6/2015,100
2/7/2015,100
2/8/2015,100
2/9/2015,100
2/10/2015,100
2/11/2015,100
2/12/2015,100
2/13/2015,100
2/14/2015,100
2/15/2015,100
2/16/2015,100
2/17/2015,100
2/18/2015,100
2/19/2015,100
2/20/2015,100
2/21/2015,100
2/22/2015,100
2/23/2015,100
2/24/2015,100
2/25/2015,100
2/26/2015,100
2/27/2015,100
2/28/2015,100
3/1/2015,100
3/2/2015,100
3/3/2015,100
3/4/2015,100
3/5/2015,100
3/6/2015,100
3/7/2015,100
3/8/2015,100
3/9/2015,100
3/10/2015,100
3/11/2015,100
3/12/2015,100
3/13/2015,100
3/14/2015,100
3/15/2015,100
3/16/2015,100
3/17/2015,100
3/18/2015,100
3/19/2015,100
3/20/2015,100
3/21/2015,100
3/22/2015,100
3/23/2015,100
3/24/2015,100
3/25/2015,100
3/26/2015,100
3/27/2015,100
3/28/2015,100
3/29/2015,100
3/30/2015,100
3/31/2015,100
4/1/2015,100
4/2/2015,100
4/3/2015,100
4/4/2015,100
4/5/2015,100
4/6/2015,100
4/7/2015,100
4/8/2015,100
4/9/2015,100
4/10/2015,100
4/11/2015,100
4/12/2015,100
4/13/2015,100
4/14/2015,100
4/15/2015,100
4/16/2015,100
4/17/2015,100
4/18/2015,100
4/19/2015,100
4/20/2015,100
4/21/2015,100
4/22/2015,100
4/23/2015,100
4/24/2015,100
4/25/2015,100
4/26/2015,100
4/27/2015,100
4/28/2015,100
4/29/2015,100
4/30/2015,100
5/1/2015,100
5/2/2015,100
5/3/2015,100
5/4/2015,100
5/5/2015,100
5/6/2015,100
5/7/2015,100
5/8/2015,100
5/9/2015,100
5/10/2015,100
5/11/2015,100
5/12/2015,100
5/13/2015,100
5/14/2015,100
5/15/2015,100
5/16/2015,100
5/17/2015,100
5/18/2015,100
5/19/2015,100
5/20/2015,100
5/21/2015,100
5/22/2015,100
5/23/2015,100
5/24/2015,100
5/25/2015,100
5/26/2015,100
5/27/2015,100
5/28/2015,100
5/29/2015,100
5/30/2015,100
5/31/2015,100
6/1/2015,100
6/2/2015,100
6/3/2015,100
6/4/2015,100
6/5/2015,100
6/6/2015,100
6/7/2015,100
6/8/2015,100
6/9/2015,100
6/10/2015,100
6/11/2015,100
6/12/2015,100
6/13/2015,100
6/14/2015,100
6/15/2015,100
6/16/2015,100
6/17/2015,100
6/18/2015,100
6/19/2015,100
6/20/2015,100
6/21/2015,100
6/22/2015,100
6/23/2015,100
6/24/2015,100
6/25/2015,100
6/26/2015,100
6/27/2015,100
6/28/2015,100
6/29/2015,100
6/30/2015,100
7/1/2015,100
7/2/2015,100
7/3/2015,100
7/4/2015,100
7/5/2015,100
7/6/2015,100
7/7/2015,100
7/8/2015,100
7/9/2015,100
7/10/2015,100
7/11/2015,100
7/12/2015,100
7/13/2015,100
7/14/2015,100
7/15/2015,100
7/16/2015,100
7/17/2015,100
7/18/2015,100
7/19/2015,100
7/20/2015,100
7/21/2015,100
7/22/2015,100
7/23/2015,100
7/24/2015,100
7/25/2015,100
7/26/2015,100
7/27/2015,100
7/28/2015,100
7/29/2015,100
7/30/2015,100
7/31/2015,100
8/1/2015,100
8/2/2015,100
8/3/2015,100
8/4/2015,100
8/5/2015,100
8/6/2015,100
8/7/2015,100
8/8/2015,100
8/9/2015,100
8/10/2015,100
8/11/2015,100
8/12/2015,100
8/13/2015,100
8/14/2015,100
8/15/2015,100
8/16/2015,100
8/17/2015,100
8/18/2015,100
8/19/2015,100
8/20/2015,100
8/21/2015,100
8/22/2015,100
8/23/2015,100
8/24/2015,100
8/25/2015,100
8/26/2015,100
8/27/2015,100
8/28/2015,100
8/29/2015,100
8/30/2015,100
8/31/2015,100
9/1/2015,100
9/2/2015,100
9/3/2015,100
9/4/2015,100
9/5/2015,100
9/6/2015,100
9/7/2015,100
9/8/2015,100
9/9/2015,100
9/10/2015,100
9/11/2015,100
9/12/2015,100
9/13/2015,100
9/14/2015,100
9/15/2015,100
9/16/2015,100
9/17/2015,100
9/18/2015,100
9/19/2015,100
9/20/2015,100
9/21/2015,100
9/22/2015,100
9/23/2015,100
9/24/2015,100
9/25/2015,100
9/26/2015,100
9/27/2015,100
9/28/2015,100
9/29/2015,100
9/30/2015,100
10/1/2015,100
10/2/2015,100
10/3/2015,100
10/4/2015,100
10/5/2015,100
10/6/2015,100
10/7/2015,100
10/8/2015,100
10/9/2015,100
10/10/2015,100
10/11/2015,100
10/12/2015,100
10/13/2015,100
10/14/2015,100
